,Unnamed: 0,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
","Rank[Note 2]
","Height(m) [2]
","Drop (m)[Note 3]
","Coordinates[4]
","Range [Note 4]
","Range[Note 5]
","Region [Note 6]
","First[5]ascent
"
906,393,"915
","Averau
",2649,413,"46°30′03″N 12°02′13″E﻿ / ﻿46.50083°N 12.03694°E﻿ / 46.50083; 12.03694﻿ (915. Averau (2649 m))
","Dolomites - NE
","II/C-31.I-D
","Belluno
","IT
","1874
",,,,,,,,
907,394,"916
","Jalovec
",2645,511,"46°25′18″N 13°40′47″E﻿ / ﻿46.42167°N 13.67972°E﻿ / 46.42167; 13.67972﻿ (916. Jalovec (2645 m))
","Julian Alps
","II/C-34.I-C
","West Slovenia
","SI
","1875
",,,,,,,,
908,395,"917
","Crête des Crousas
",2645,422,"44°43′23″N 06°39′38″E﻿ / ﻿44.72306°N 6.66056°E﻿ / 44.72306; 6.66056﻿ (917. Crête des Crousas (2645 m))
","Central Cottian Alps
","I/A-04.II-B
","Hautes-Alpes
","FR
","
",,,,,,,,
909,396,"918
","Zimba
",2643,578,"47°05′29″N 09°47′20″E﻿ / ﻿47.09139°N 9.78889°E﻿ / 47.09139; 9.78889﻿ (918. Zimba (2643 m))
","Rätikon
","II/A-15.VIII-A
","Vorarlberg
","AT
","1848
",,,,,,,,
910,397,"919
","Heiterwand [de]
",2639,745,"47°18′52″N 10°44′04″E﻿ / ﻿47.31444°N 10.73444°E﻿ / 47.31444; 10.73444﻿ (919. Heiterwand (2639 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
","1890
",,,,,,,,
911,398,"920
","Hocheck
",2638,401,"47°14′10″N 13°43′27″E﻿ / ﻿47.23611°N 13.72417°E﻿ / 47.23611; 13.72417﻿ (920. Hocheck (2638 m))
","Niedere Tauern
","II/A-18.II-A
","Salzburg
","AT
","
",,,,,,,,
912,399,"921
","Kleiner Solstein
",2637,516,"47°18′09″N 11°19′28″E﻿ / ﻿47.30250°N 11.32444°E﻿ / 47.30250; 11.32444﻿ (921. Kleiner Solstein (2637 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
","1867
",,,,,,,,
913,400,"922
","Birnhorn
",2634,1665,"47°28′29″N 12°44′02″E﻿ / ﻿47.47472°N 12.73389°E﻿ / 47.47472; 12.73389﻿ (922. Birnhorn (2634 m))
","Leoganger Steinberge
","II/B-24.I-C
","Salzburg
","AT
","1831
",,,,,,,,
914,401,"923
","Crêt du Rey
",2633,514,"45°36′05″N 06°35′58″E﻿ / ﻿45.60139°N 6.59944°E﻿ / 45.60139; 6.59944﻿ (923. Crêt du Rey (2633 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
","
",,,,,,,,
915,402,"924
","Urbeleskarspitze
",2632,375,"47°20′12″N 10°28′07″E﻿ / ﻿47.33667°N 10.46861°E﻿ / 47.33667; 10.46861﻿ (924. Urbeleskarspitze (2632 m))
","Allgäu Alps
","II/B-22.II-C
","North Tyrol
","AT
","1869
",,,,,,,,
916,403,"925
","Großstein
",2632,351,"47°14′16″N 10°29′40″E﻿ / ﻿47.23778°N 10.49444°E﻿ / 47.23778; 10.49444﻿ (925. Großstein (2632 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
","
",,,,,,,,
917,404,"926
","Rüfispitze
",2632,342,"47°11′28″N 10°10′56″E﻿ / ﻿47.19111°N 10.18222°E﻿ / 47.19111; 10.18222﻿ (926. Rüfispitze (2632 m))
","Lechtal Alps
","II/B-21.I-A
","Vorarlberg
","AT
","
",,,,,,,,
918,405,"927
","Monte Mongioie
",2630,459,"44°10′30″N 07°47′08″E﻿ / ﻿44.17500°N 7.78556°E﻿ / 44.17500; 7.78556﻿ (927. Monte Mongioie (2630 m))
","Ligurian Alps
","I/A-01.II-B
","Cuneo
","IT
","
",,,,,,,,
919,406,"928
","Munt Buffalora
",2630,351,"46°37′37″N 10°15′00″E﻿ / ﻿46.62694°N 10.25000°E﻿ / 46.62694; 10.25000﻿ (928. Munt Buffalora (2630 m))
","Ortler Alps
","II/A-15.V-A
","Graubünden
","CH
","
",,,,,,,,
920,407,"929
","Ultner Hochwart [de]
",2627,440,"46°30′42″N 10°59′59″E﻿ / ﻿46.51167°N 10.99972°E﻿ / 46.51167; 10.99972﻿ (929. Ultner Hochwart (2627 m))
","Ortler Alps
","II/C-28.I-A
","South Tyrol
","IT
","
",,,,,,,,
921,408,"930
","Blutspitze / Steinkarspitze
",2626,430,"47°14′59″N 13°41′09″E﻿ / ﻿47.24972°N 13.68583°E﻿ / 47.24972; 13.68583﻿ (930. Blutspitze / Steinkarspitze (2626 m))
","Niedere Tauern
","II/A-18.II-A
","Salzburg/Styria
","AT
","
",,,,,,,,
922,409,"931
","Monte Pradella
",2626,348,"45°59′32″N 09°51′02″E﻿ / ﻿45.99222°N 9.85056°E﻿ / 45.99222; 9.85056﻿ (931. Monte Pradella (2626 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo
","IT
","
",,,,,,,,
923,410,"932
","Cima d'Auta Orientale
",2624,312,"46°24′02″N 11°53′10″E﻿ / ﻿46.40056°N 11.88611°E﻿ / 46.40056; 11.88611﻿ (932. Cima d'Auta Orientale (2624 m))
","Dolomites - NW
","II/C-31.III-B
","Belluno
","IT
","
",,,,,,,,
924,411,"933
","Valschavielberge
",2624,304,"47°00′34″N 10°07′36″E﻿ / ﻿47.00944°N 10.12667°E﻿ / 47.00944; 10.12667﻿ (933. Valschavielberge (2624 m))
","Verwall
","II/A-15.VI-C
","Vorarlberg
","AT
","
",,,,,,,,
925,412,"934
","Le Rissiou
",2622,522,"45°11′01″N 06°04′05″E﻿ / ﻿45.18361°N 6.06806°E﻿ / 45.18361; 6.06806﻿ (934. Le Rissiou (2622 m))
","Dauphiné Alps
","I/A-05.I-B
","Isère
","FR
","
",,,,,,,,
926,413,"935
","Greifenberg
",2618,335,"47°17′21″N 13°47′23″E﻿ / ﻿47.28917°N 13.78972°E﻿ / 47.28917; 13.78972﻿ (935. Greifenberg (2618 m))
","Niedere Tauern
","II/A-18.II-A
","Salzburg/Styria
","AT
","
",,,,,,,,
927,414,"936
","Monte Stelle delle Sute
",2616,550,"46°12′39″N 11°32′00″E﻿ / ﻿46.21083°N 11.53333°E﻿ / 46.21083; 11.53333﻿ (936. Monte Stelle delle Sute (2616 m))
","Fiemme Alps
","II/C-31.V-B
","Trentino
","IT
","
",,,,,,,,
928,415,"937
","Grande Balmaz
",2616,305,"45°53′36″N 06°29′48″E﻿ / ﻿45.89333°N 6.49667°E﻿ / 45.89333; 6.49667﻿ (937. Grande Balmaz (2616 m))
","Aravis Range
","I/B-08.IV-A
","Savoie/Haute-Savoie
","FR
","
",,,,,,,,
929,416,"938
","Piz Cavradi
",2614,351,"46°37′57″N 08°41′44″E﻿ / ﻿46.63250°N 8.69556°E﻿ / 46.63250; 8.69556﻿ (938. Piz Cavradi (2614 m))
","Ticino Alps
","I/B-10.II-A
","Graubünden
","CH
","
",,,,,,,,
930,417,"939
","Pizzo dell'Alpe Gelato
",2613,357,"46°14′59″N 08°26′39″E﻿ / ﻿46.24972°N 8.44417°E﻿ / 46.24972; 8.44417﻿ (939. Pizzo dell'Alpe Gelato (2613 m))
","Ticino Alps
","I/B-10.II-A
","Ticino/V-C-O
","CH/IT
","
",,,,,,,,
931,418,"940
","Le Gros Têt
",2613,342,"45°04′31″N 06°14′23″E﻿ / ﻿45.07528°N 6.23972°E﻿ / 45.07528; 6.23972﻿ (940. Le Gros Têt (2613 m))
","Dauphiné Alps
","I/A-05.I-A
","Savoie
","FR
","
",,,,,,,,
932,419,"941
","Cima Bianca
",2612,309,"46°23′16″N 08°48′45″E﻿ / ﻿46.38778°N 8.81250°E﻿ / 46.38778; 8.81250﻿ (941. Cima Bianca (2612 m))
","Ticino Alps
","I/B-10.II-D
","Ticino
","CH
","
",,,,,,,,
933,420,"942
","Monte le Stelière
",2612,301,"44°15′57″N 07°06′26″E﻿ / ﻿44.26583°N 7.10722°E﻿ / 44.26583; 7.10722﻿ (942. Monte le Stelière (2612 m))
","Maritime Alps
","I/A-02.I-C
","Cuneo
","IT
","
",,,,,,,,
934,421,"943
","Foostock / Ruchen
",2611,388,"46°57′24″N 09°14′41″E﻿ / ﻿46.95667°N 9.24472°E﻿ / 46.95667; 9.24472﻿ (943. Foostock / Ruchen (2611 m))
","Glarus Alps
","I/B-13.II-B
","Glarus/StGallen
","CH
","
",,,,,,,,
935,422,"944
","Monte Legnone
",2609,624,"46°05′41″N 09°24′53″E﻿ / ﻿46.09472°N 9.41472°E﻿ / 46.09472; 9.41472﻿ (944. Monte Legnone (2609 m))
","Bergamo Alps
","II/C-29.I-B
","Lecco/Sondrio
","IT
","
",,,,,,,,
936,423,"945
","Sommet d'Assan
",2609,358,"44°41′08″N 06°44′10″E﻿ / ﻿44.68556°N 6.73611°E﻿ / 44.68556; 6.73611﻿ (945. Sommet d'Assan (2609 m))
","Southern Cottian Alps
","I/A-04.I-A
","Hautes-Alpes
","FR
","
",,,,,,,,
937,424,"946
","Mittlere Jägerkarspitze [de]
",2608,323,"47°21′13″N 11°22′33″E﻿ / ﻿47.35361°N 11.37583°E﻿ / 47.35361; 11.37583﻿ (946. Mittlere Jägerkarspitze (2608 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
","1859
",,,,,,,,
938,425,"947
","Hochkalter
",2607,663,"47°34′10″N 12°52′00″E﻿ / ﻿47.56944°N 12.86667°E﻿ / 47.56944; 12.86667﻿ (947. Hochkalter (2607 m))
","Berchtesgaden Alps
","II/B-24.III-C
","Bavaria
","DE
","1830
",,,,,,,,
939,426,"948
","Cima del Rouss
",2604,381,"44°19′16″N 07°00′00″E﻿ / ﻿44.32111°N 7.00000°E﻿ / 44.32111; 7.00000﻿ (948. Cima del Rouss (2604 m))
","Maritime Alps
","I/A-02.I-C
","Cuneo
","IT
","
",,,,,,,,
940,427,"949
","Campanile Ciastelin
",2602,395,"46°30′39″N 12°22′38″E﻿ / ﻿46.51083°N 12.37722°E﻿ / 46.51083; 12.37722﻿ (949. Campanile Ciastelin (2602 m))
","Dolomites - NE
","II/C-31.I-E
","Belluno
","IT
","1890
",,,,,,,,
941,428,"950
","Becco di Mezzodì
",2602,325,"46°28′00″N 12°06′52″E﻿ / ﻿46.46667°N 12.11444°E﻿ / 46.46667; 12.11444﻿ (950. Becco di Mezzodì (2602 m))
","Dolomites - NE
","II/C-31.I-D
","Belluno
","IT
","1872
",,,,,,,,
942,429,"951
","Schafseitenspitze
",2602,305,"47°06′10″N 11°33′16″E﻿ / ﻿47.10278°N 11.55444°E﻿ / 47.10278; 11.55444﻿ (951. Schafseitenspitze (2602 m))
","Tux Alps
","II/B-23.I-A
","North Tyrol
","AT
","
",,,,,,,,
943,430,"952
","Razor
",2601,332,"46°24′43″N 13°47′31″E﻿ / ﻿46.41194°N 13.79194°E﻿ / 46.41194; 13.79194﻿ (952. Razor (2601 m))
","Julian Alps
","II/C-34.I-E
","West Slovenia
","SI
","1842
",,,,,,,,
944,431,"953
","Monte Cabianca
",2601,312,"46°00′36″N 09°52′01″E﻿ / ﻿46.01000°N 9.86694°E﻿ / 46.01000; 9.86694﻿ (953. Monte Cabianca (2601 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo
","IT
","
",,,,,,,,
945,432,"954
","Monte Mars
",2600,416,"45°38′00″N 07°54′55″E﻿ / ﻿45.63333°N 7.91528°E﻿ / 45.63333; 7.91528﻿ (954. Monte Mars (2600 m))
","Biellese Alps
","I/B-09.IV-A
","Aosta/Biella
","IT
","
",,,,,,,,
946,433,"955
","Silberpfennig [de]
",2600,374,"47°05′21″N 13°02′30″E﻿ / ﻿47.08917°N 13.04167°E﻿ / 47.08917; 13.04167﻿ (955. Silberpfennig (2600 m))
","Goldberg Group
","II/A-17.II-E
","Salzburg
","AT
","
",,,,,,,,
947,434,"956
","Großer Knallstein [de]
",2599,548,"47°19′12″N 13°58′37″E﻿ / ﻿47.32000°N 13.97694°E﻿ / 47.32000; 13.97694﻿ (956. Großer Knallstein (2599 m))
","Niedere Tauern
","II/A-18.II-A
","Styria
","AT
","
",,,,,,,,
948,435,"957
","Vorder Grauspitz
",2599,353,"47°03′10″N 09°34′52″E﻿ / ﻿47.05278°N 9.58111°E﻿ / 47.05278; 9.58111﻿ (957. Vorder Grauspitz (2599 m))
","Rätikon
","II/A-15.VIII-A
","Graub./Liecht
","CH/LI
","
",,,,,,,,
949,436,"958
","Biberkopf
",2599,337,"47°16′14″N 10°13′58″E﻿ / ﻿47.27056°N 10.23278°E﻿ / 47.27056; 10.23278﻿ (958. Biberkopf (2599 m))
","Allgäu Alps
","II/B-22.II-C
","N-Tyrol/Bavaria
","AT/DE
","1853
",,,,,,,,
950,437,"959
","Le Catogne
",2598,1100,"46°03′15″N 07°06′39″E﻿ / ﻿46.05417°N 7.11083°E﻿ / 46.05417; 7.11083﻿ (959. Le Catogne (2598 m))
","Mont Blanc massif
","I/B-07.V-C
","Valais
","CH
","
",,,,,,,,
951,438,"960
","Zellinkopf
",2597,445,"46°53′39″N 12°57′05″E﻿ / ﻿46.89417°N 12.95139°E﻿ / 46.89417; 12.95139﻿ (960. Zellinkopf (2597 m))
","Goldberg Group
","II/A-17.II-E
","Carinthia
","AT
","
",,,,,,,,
952,439,"961
","Großer Hundstod
",2594,475,"47°30′45″N 12°53′12″E﻿ / ﻿47.51250°N 12.88667°E﻿ / 47.51250; 12.88667﻿ (961. Großer Hundstod (2594 m))
","Berchtesgaden Alps
","II/B-24.III-A
","Salzburg/Bavaria
","AT/DE
","1825
",,,,,,,,
953,440,"962
","Roc du Bécoin
",2594,328,"45°29′34″N 06°39′50″E﻿ / ﻿45.49278°N 6.66389°E﻿ / 45.49278; 6.66389﻿ (962. Roc du Bécoin (2594 m))
","Vanoise massif
","I/B-07.II-B
","Savoie
","FR
","
",,,,,,,,
954,441,"963
","Gametzalpenkopf
",2594,306,"46°41′21″N 12°06′32″E﻿ / ﻿46.68917°N 12.10889°E﻿ / 46.68917; 12.10889﻿ (963. Gametzalpenkopf (2594 m))
","Dolomites - NE
","II/C-31.I-B
","South Tyrol
","IT
","
",,,,,,,,
955,442,"964
","Pizzo Paglia
",2593,498,"46°13′54″N 09°13′09″E﻿ / ﻿46.23167°N 9.21917°E﻿ / 46.23167; 9.21917﻿ (964. Pizzo Paglia (2593 m))
","Adula Alps
","I/B-10.III-D
","Graubünden
","CH
","
",,,,,,,,
956,443,"965
","Monte Forno / Monte Gorio
",2593,339,"46°17′43″N 08°19′25″E﻿ / ﻿46.29528°N 8.32361°E﻿ / 46.29528; 8.32361﻿ (965. Monte Forno / Gorio (2593 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","V-C-O
","IT
","
",,,,,,,,
957,444,"966
","Hochvogel
",2592,572,"47°22′47″N 10°26′13″E﻿ / ﻿47.37972°N 10.43694°E﻿ / 47.37972; 10.43694﻿ (966. Hochvogel (2592 m))
","Allgäu Alps
","II/B-22.II-C
","N-Tyrol/Bavaria
","AT/DE
","1832
",,,,,,,,
958,445,"967
","Zwölferspitz
",2592,360,"46°39′42″N 12°43′42″E﻿ / ﻿46.66167°N 12.72833°E﻿ / 46.66167; 12.72833﻿ (967. Zwölferspitz (2592 m))
","Carnic Alps
","II/C-33.I-A
","Carinthia
","AT
","1896
",,,,,,,,
959,446,"968
","Eggenkofel [pl]
",2591,714,"46°44′19″N 12°40′41″E﻿ / ﻿46.73861°N 12.67806°E﻿ / 46.73861; 12.67806﻿ (968. Eggenkofel (2591 m))
","Gailtal Alps
","II/C-33.II-A
","East Tyrol
","AT
","
",,,,,,,,
960,447,"969
","Rupprechtseck
",2591,417,"47°14′22″N 14°00′05″E﻿ / ﻿47.23944°N 14.00139°E﻿ / 47.23944; 14.00139﻿ (969. Rupprechtseck (2591 m))
","Niedere Tauern
","II/A-18.II-A
","Salzburg/Styria
","AT
","
",,,,,,,,
961,448,"970
","Kanin
",2587,1397,"46°21′36″N 13°26′18″E﻿ / ﻿46.36000°N 13.43833°E﻿ / 46.36000; 13.43833﻿ (970. Kanin (2587 m))
","Julian Alps
","II/C-34.I-B
","Udine/Slovenia
","IT/SI
","
",,,,,,,,
962,449,"971
","Monte Terza Grande
",2586,1277,"46°31′37″N 12°37′17″E﻿ / ﻿46.52694°N 12.62139°E﻿ / 46.52694; 12.62139﻿ (971. Monte Terza Grande (2586 m))
","Carnic Alps
","II/C-33.I-C
","Belluno
","IT
","
",,,,,,,,
963,450,"972
","Monte Cridola
",2581,538,"46°25′35″N 12°29′12″E﻿ / ﻿46.42639°N 12.48667°E﻿ / 46.42639; 12.48667﻿ (972. Monte Cridola (2581 m))
","Carnic Prealps
","II/C-33.III-A
","Belluno
","IT
","1884
",,,,,,,,
964,451,"973
","Hochspitz /M. Vancomun
",2581,303,"46°39′26″N 12°40′07″E﻿ / ﻿46.65722°N 12.66861°E﻿ / 46.65722; 12.66861﻿ (973. Hochspitz / M. Vancomun (2581 m))
","Carnic Alps
","II/C-33.I-A
","E-Tyrol/Belluno
","AT/IT
","
",,,,,,,,
965,452,"974
","Ruitelspitze
",2580,322,"47°15′20″N 10°26′46″E﻿ / ﻿47.25556°N 10.44611°E﻿ / 47.25556; 10.44611﻿ (974. Ruitelspitze (2580 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
","
",,,,,,,,
966,453,"975
","Mont Triboulet
",2578,336,"44°12′22″N 06°51′57″E﻿ / ﻿44.20611°N 6.86583°E﻿ / 44.20611; 6.86583﻿ (975. Mont Triboulet (2578 m))
","Maritime Alps
","I/A-02.I-D
","Alpes Maritimes
","FR
","
",,,,,,,,
967,454,"976
","Türchlwand
",2577,475,"47°09′03″N 13°01′57″E﻿ / ﻿47.15083°N 13.03250°E﻿ / 47.15083; 13.03250﻿ (976. Türchlwand (2577 m))
","Goldberg Group
","II/A-17.II-E
","Salzburg
","AT
","
",,,,,,,,
968,455,"977
","Plose (Große Gabler)
",2576,713,"46°41′23″N 11°45′47″E﻿ / ﻿46.68972°N 11.76306°E﻿ / 46.68972; 11.76306﻿ (977. Plose (Große Gabler) (2576 m))
","Dolomites - NW
","II/C-31.III-A
","South Tyrol
","IT
","
",,,,,,,,
969,456,"978
","Stätzerhorn
",2575,1028,"46°45′21″N 09°30′44″E﻿ / ﻿46.75583°N 9.51222°E﻿ / 46.75583; 9.51222﻿ (978. Stätzerhorn (2575 m))
","Plessur Alps
","II/A-15.VII-C
","Graubünden
","CH
","
",,,,,,,,
970,457,"979
","Cima delle Buse
",2574,318,"46°11′10″N 11°29′53″E﻿ / ﻿46.18611°N 11.49806°E﻿ / 46.18611; 11.49806﻿ (979. Cima delle Buse (2574 m))
","Fiemme Alps
","II/C-31.V-B
","Trentino
","IT
","
",,,,,,,,
971,458,"980
","Pfannenstock
",2573,373,"46°57′42″N 08°54′41″E﻿ / ﻿46.96167°N 8.91139°E﻿ / 46.96167; 8.91139﻿ (980. Pfannenstock (2573 m))
","Schwyz Alps
","I/B-13.I-B
","Schwyz
","CH
","
",,,,,,,,
972,459,"981
","Westlicher Johanneskopf
",2573,328,"47°12′37″N 10°01′21″E﻿ / ﻿47.21028°N 10.02250°E﻿ / 47.21028; 10.02250﻿ (981. Westlicher Johanneskopf (2573 m))
","Lechquellen Mts
","II/B-21.II-A
","Vorarlberg
","AT
","
",,,,,,,,
973,460,"982
","Torrione dei Longerin
",2571,536,"46°37′45″N 12°33′41″E﻿ / ﻿46.62917°N 12.56139°E﻿ / 46.62917; 12.56139﻿ (982. Torrione dei Longerin (2571 m))
","Carnic Alps
","II/C-33.I-A
","Belluno
","IT
","
",,,,,,,,
974,461,"983
","Setsas
",2571,403,"46°31′10″N 11°57′27″E﻿ / ﻿46.51944°N 11.95750°E﻿ / 46.51944; 11.95750﻿ (983. Setsas (2571 m))
","Dolomites - NE
","II/C-31.I-C
","Belluno
","IT
","
",,,,,,,,
975,462,"984
","Kanjavec
",2569,405,"46°21′37″N 13°48′35″E﻿ / ﻿46.36028°N 13.80972°E﻿ / 46.36028; 13.80972﻿ (984. Kanjavec (2569 m))
","Julian Alps
","II/C-34.I-E
","West Slovenia
","SI
","1877
",,,,,,,,
976,463,"985
","Tête du Collier
",2567,903,"44°43′02″N 05°57′51″E﻿ / ﻿44.71722°N 5.96417°E﻿ / 44.71722; 5.96417﻿ (985. Tête du Collier (2567 m))
","Dauphiné Prealps
","I/A-06.I-A
","Hautes-Alpes
","FR
","
",,,,,,,,
977,464,"986
","Maurerkopf
",2567,352,"46°42′46″N 12°02′02″E﻿ / ﻿46.71278°N 12.03389°E﻿ / 46.71278; 12.03389﻿ (986. Maurerkopf (2567 m))
","Dolomites - NE
","II/C-31.I-B
","South Tyrol
","IT
","
",,,,,,,,
978,465,"987
","Schiara
",2565,964,"46°13′48″N 12°10′56″E﻿ / ﻿46.23000°N 12.18222°E﻿ / 46.23000; 12.18222﻿ (987. Schiara (2565 m))
","Dolomites - SE
","II/C-31.II-B
","Belluno
","IT
","
",,,,,,,,
979,466,"988
","Hinter Planitzer
",2562,317,"47°13′04″N 12°38′13″E﻿ / ﻿47.21778°N 12.63694°E﻿ / 47.21778; 12.63694﻿ (988. Hinter Planitzer (2562 m))
","Glockner Group
","II/A-17.II-C
","Salzburg
","AT
","
",,,,,,,,
980,467,"989
","Grand Galbert [fr]
",2561,487,"45°05′26″N 05°57′35″E﻿ / ﻿45.09056°N 5.95972°E﻿ / 45.09056; 5.95972﻿ (989. Grand Galbert (2561 m))
","Taillefer Massif
","I/A-05.IV-A
","Isère
","FR
","
",,,,,,,,
981,468,"990
","Grintovec
",2558,1706,"46°21′25″N 14°32′10″E﻿ / ﻿46.35694°N 14.53611°E﻿ / 46.35694; 14.53611﻿ (990. Grintovec (2558 m))
","Kamnik Alps
","II/C-35.II-B
","East Slovenia
","SI
","1759
",,,,,,,,
982,469,"991
","Kreuzjoch
",2558,1051,"47°15′05″N 11°58′58″E﻿ / ﻿47.25139°N 11.98278°E﻿ / 47.25139; 11.98278﻿ (991. Kreuzjoch (2558 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol
","AT
","
",,,,,,,,
983,470,"992
","Monte Bo
",2556,616,"45°42′51″N 07°59′56″E﻿ / ﻿45.71417°N 7.99889°E﻿ / 45.71417; 7.99889﻿ (992. Monte Bo (2556 m))
","Biellese Alps
","I/B-09.IV-A
","Biella
","IT
","
",,,,,,,,
984,471,"993
","Wolayer Seekopf / Monte Capolago
",2554,585,"46°36′22″N 12°51′39″E﻿ / ﻿46.60611°N 12.86083°E﻿ / 46.60611; 12.86083﻿ (993. Wolayer Seekopf / Monte Capolago (2554 m))
","Carnic Alps
","II/C-33.I-A
","Carinthia/Udine
","AT/IT
","
",,,,,,,,
985,472,"994
","Pizzo Tre Signori
",2554,462,"46°00′43″N 09°31′42″E﻿ / ﻿46.01194°N 9.52833°E﻿ / 46.01194; 9.52833﻿ (994. Pizzo Tre Signori (2554 m))
","Bergamo Alps
","II/C-29.I-B
","Berg/Lecc/Sond
","IT
","
",,,,,,,,
986,473,"995
","Modeon del Buinz
",2554,313,"46°25′00″N 13°28′16″E﻿ / ﻿46.41667°N 13.47111°E﻿ / 46.41667; 13.47111﻿ (995. Modeon del Buinz (2554 m))
","Julian Alps
","II/C-34.I-A
","Udine
","IT
","
",,,,,,,,
987,474,"996
","Namloser Wetterspitze [de]
",2553,722,"47°19′23″N 10°38′30″E﻿ / ﻿47.32306°N 10.64167°E﻿ / 47.32306; 10.64167﻿ (996. Namloser Wetterspitze (2553 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
","1876
",,,,,,,,
988,475,"997
","Kirchlispitzen
",2552,313,"47°02′20″N 09°46′10″E﻿ / ﻿47.03889°N 9.76944°E﻿ / 47.03889; 9.76944﻿ (997. Kirchlispitzen (2552 m))
","Rätikon
","II/A-15.VIII-A
","Vorarlb/Graub.
","AT/CH
","1891
",,,,,,,,
989,476,"998
","Tàmer Piccolo
",2550,846,"46°18′38″N 12°07′19″E﻿ / ﻿46.31056°N 12.12194°E﻿ / 46.31056; 12.12194﻿ (998. Tàmer Piccolo (2550 m))
","Dolomites - SE
","II/C-31.II-B
","Belluno
","IT
","1892
",,,,,,,,
990,477,"999
","Concarena (Cima della Bacchetta)
",2549,721,"46°00′39″N 10°16′48″E﻿ / ﻿46.01083°N 10.28000°E﻿ / 46.01083; 10.28000﻿ (999. Concarena (Cima della Bacchetta) (2549 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo
","IT
","
",,,,,,,,
991,478,"1000
","Monte Brentoni
",2548,1017,"46°30′46″N 12°33′57″E﻿ / ﻿46.51278°N 12.56583°E﻿ / 46.51278; 12.56583﻿ (1000. Monte Brentoni (2548 m))
","Carnic Alps
","II/C-33.I-C
","Belluno
","IT
","
",,,,,,,,
992,479,"1001
","Le Tarent
",2548,1002,"46°22′56″N 07°08′51″E﻿ / ﻿46.38222°N 7.14750°E﻿ / 46.38222; 7.14750﻿ (1001. Le Tarent (2548 m))
","Vaud Alps
","I/B-14.I-A
","Vaud
","CH
","
",,,,,,,,
993,480,"1002
","Monfalcon di Montanaia [it]
",2548,499,"46°24′16″N 12°29′10″E﻿ / ﻿46.40444°N 12.48611°E﻿ / 46.40444; 12.48611﻿ (1002. Monfalcon di Montanaia (2548 m))
","Carnic Prealps
","II/C-33.III-A
","Bell./Pordenone
","IT
","
",,,,,,,,
994,481,"1003
","Sass de Mura
",2547,1178,"46°09′49″N 11°55′31″E﻿ / ﻿46.16361°N 11.92528°E﻿ / 46.16361; 11.92528﻿ (1003. Sass de Mura (2547 m))
","Dolomites - S
","II/C-31.IV-B
","Belluno/Trentino
","IT
","1881
",,,,,,,,
995,482,"1004
","Rosso di Ribia
",2547,569,"46°15′40″N 08°31′47″E﻿ / ﻿46.26111°N 8.52972°E﻿ / 46.26111; 8.52972﻿ (1004. Rosso di Ribia (2547 m))
","Ticino Alps
","I/B-10.II-A
","Ticino
","CH
","
",,,,,,,,
996,483,"1005
","Prisojnik
",2547,551,"46°25′31″N 13°46′12″E﻿ / ﻿46.42528°N 13.77000°E﻿ / 46.42528; 13.77000﻿ (1005. Prisojnik (2547 m))
","Julian Alps
","II/C-34.I-E
","West Slovenia
","SI
","
",,,,,,,,
997,484,"1006
","Hochnissl [de]
",2547,360,"47°22′02″N 11°37′05″E﻿ / ﻿47.36722°N 11.61806°E﻿ / 47.36722; 11.61806﻿ (1006. Hochnissl (2547 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
","
",,,,,,,,
998,485,"1007
","Les Aiguillettes
",2547,313,"45°11′02″N 06°07′30″E﻿ / ﻿45.18389°N 6.12500°E﻿ / 45.18389; 6.12500﻿ (1007. Les Aig.ttes (2547 m))
","Dauphiné Alps
","I/A-05.I-B
","Isère
","FR
","
",,,,,,,,
999,486,"1008
","Crest / Monte Cresto
",2546,344,"45°40′51″N 07°54′36″E﻿ / ﻿45.68083°N 7.91000°E﻿ / 45.68083; 7.91000﻿ (1008. Crest / Monte Cresto (2546 m))
","Biellese Alps
","I/B-09.IV-A
","Aosta/Biella
","IT
","
",,,,,,,,
1000,487,"1009
","L'Aiguille Rouge/Guglia Rossa
",2545,351,"45°02′46″N 06°38′40″E﻿ / ﻿45.04611°N 6.64444°E﻿ / 45.04611; 6.64444﻿ (1009. L'Aig. Rouge (2545 m))
","Massif des Cerces
","I/A-04.III-A
","Hautes-Alpes
","FR
","
",,,,,,,,
