,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
"
199,"1245
","Montagne du Cheval Blanc [fr]
",2323.0,450.0,"44°07′38″N 06°25′27″E﻿ / ﻿44.12722°N 6.42417°E﻿ / 44.12722; 6.42417﻿ (1245. Montagne du Cheval Blanc (2323 m))
","Provence Alps
","I/A-03.II-A
","Alpes-de-Haute-Provence
","FR
"
200,"1246
","Pointe Noire de Pormenaz [fr]
",2323.0,373.0,"45°57′32″N 06°48′05″E﻿ / ﻿45.95889°N 6.80139°E﻿ / 45.95889; 6.80139﻿ (1246. Pte Noire de Pormenaz (2323 m))
","Aiguilles Rouges
","I/B-08.I-A
","Haute-Savoie
","FR
"
201,"1247
","Cima del Fop
",2322.0,325.0,"45°55′59″N 09°51′50″E﻿ / ﻿45.93306°N 9.86389°E﻿ / 45.93306; 9.86389﻿ (1247. Cima del Fop (2322 m))
","Bergamasque Prealps
","II/C-29.II-B
","Bergamo
","IT
"
202,"
","Pizzo Cramalina
",2322.0,297.0,"46°15′19″N 08°37′26″E﻿ / ﻿46.25528°N 8.62389°E﻿ / 46.25528; 8.62389﻿ (Pizzo Cramalina (2322 m))
","Ticino Alps
","I/B-10.II-B
","Ticino
","CH
"
203,"1248
","Seehorn [de]
",2321.0,300.0,"47°31′00″N 12°51′11″E﻿ / ﻿47.51667°N 12.85306°E﻿ / 47.51667; 12.85306﻿ (1248. Seehorn (2321 m))
","Berchtesgaden Alps
","II/B-24.III-A
","Salzburg
","AT
"
204,"1249
","Creta di Mimoias
",2320.0,330.0,"46°30′38″N 12°37′29″E﻿ / ﻿46.51056°N 12.62472°E﻿ / 46.51056; 12.62472﻿ (1249. Creta di Mimoias (2320 m))
","Carnic Alps
","II/C-33.I-C
","Belluno
","IT
"
205,"1250
","Golzentipp
",2317.0,364.0,"46°44′04″N 12°36′14″E﻿ / ﻿46.73444°N 12.60389°E﻿ / 46.73444; 12.60389﻿ (1250. Golzentipp (2317 m))
","Gailtal Alps
","II/C-33.II-A
","East Tyrol
","AT
"
206,"1251
","Weißhorn
",2317.0,328.0,"46°21′13″N 11°26′41″E﻿ / ﻿46.35361°N 11.44472°E﻿ / 46.35361; 11.44472﻿ (1251. Weißhorn  (2317 m))
","Fiemme Mountains
","II/C-31.V-A
","South Tyrol
","IT
"
207,"1252
","Marmontana
",2316.0,343.0,"46°10′19″N 09°10′13″E﻿ / ﻿46.17194°N 9.17028°E﻿ / 46.17194; 9.17028﻿ (1252. Marmontana (2316 m))
","Adula Alps
","I/B-10.III-D
","Graubünden / Como
","CH/IT
"
208,"1253
","Großhansl
",2315.0,304.0,"47°19′07″N 14°15′57″E﻿ / ﻿47.31861°N 14.26583°E﻿ / 47.31861; 14.26583﻿ (1253. Großhansl (2315 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
209,"1254
","Nabois Grande
",2313.0,339.0,"46°26′21″N 13°29′18″E﻿ / ﻿46.43917°N 13.48833°E﻿ / 46.43917; 13.48833﻿ (1254. Nabois Grande (2313 m))
","Julian Alps
","II/C-34.I-A
","Udine
","IT
"
210,"1255
","Monte Turlon
",2312.0,482.0,"46°19′19″N 12°30′19″E﻿ / ﻿46.32194°N 12.50528°E﻿ / 46.32194; 12.50528﻿ (1255. Monte Turlon (2312 m))
","Carnic Prealps
","II/C-33.III-A
","Pordenone
","IT
"
211,"1256
","Cima dei Vieres
",2310.0,504.0,"46°18′35″N 12°29′05″E﻿ / ﻿46.30972°N 12.48472°E﻿ / 46.30972; 12.48472﻿ (1256. Cima dei Vieres (2310 m))
","Carnic Prealps
","II/C-33.III-A
","Pordenone
","IT
"
212,"1257
","Großer Beil
",2309.0,311.0,"47°20′29″N 12°01′38″E﻿ / ﻿47.34139°N 12.02722°E﻿ / 47.34139; 12.02722﻿ (1257. Großer Beil (2309 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol
","AT
"
213,"1258
","Hinterrugg
",2306.0,470.0,"47°09′13″N 09°18′17″E﻿ / ﻿47.15361°N 9.30472°E﻿ / 47.15361; 9.30472﻿ (1258. Hinterrugg (2306 m))
","Appenzell Alps
","I/B-14.V-A
","St. Gallen
","CH
"
214,"1259
","Caserine Alte
",2306.0,382.0,"46°18′53″N 12°37′54″E﻿ / ﻿46.31472°N 12.63167°E﻿ / 46.31472; 12.63167﻿ (1259. Caserine Alte (2306 m))
","Carnic Prealps
","II/C-33.III-B
","Pordenone
","IT
"
215,"1260
","Schaufelspitze
",2306.0,312.0,"47°25′23″N 11°36′28″E﻿ / ﻿47.42306°N 11.60778°E﻿ / 47.42306; 11.60778﻿ (1260. Schaufelspitze (2306 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
216,"1261
","Monte Civrari
",2302.0,404.0,"45°11′31″N 07°19′38″E﻿ / ﻿45.19194°N 7.32722°E﻿ / 45.19194; 7.32722﻿ (1261. Monte Civrari (2302 m))
","Graian Alps
","I/B-07.I-A
","Turin
","IT
"
217,"1262
","Monte Togano [it]
",2301.0,1473.0,"46°05′23″N 08°23′39″E﻿ / ﻿46.08972°N 8.39417°E﻿ / 46.08972; 8.39417﻿ (1262. Monte Togano (2301  m))
","Ticino Alps
","I/B-10.II-C
","V-C-O
","IT
"
218,"1263
","Cima di Menna [it]
",2300.0,449.0,"45°55′47″N 09°45′36″E﻿ / ﻿45.92972°N 9.76000°E﻿ / 45.92972; 9.76000﻿ (1263. Cima di Menna (2300 m))
","Bergamasque Prealps
","II/C-29.II-B
","Bergamo
","IT
"
219,"1264
","Hochiss
",2299.0,1359.0,"47°27′30″N 11°45′54″E﻿ / ﻿47.45833°N 11.76500°E﻿ / 47.45833; 11.76500﻿ (1264. Hochiss (2299 m))
","Brandenberg Alps
","II/B-21.V-A
","North Tyrol
","AT
"
220,"1265
","Bruderkogel
",2299.0,475.0,"47°23′16″N 14°25′20″E﻿ / ﻿47.38778°N 14.42222°E﻿ / 47.38778; 14.42222﻿ (1265. Bruderkogel (2299 m))
","Rottenmann Tauern
","II/A-18.III-B
","Styria
","AT
"
221,"1266
","Steinkogel
",2299.0,325.0,"47°17′55″N 12°14′11″E﻿ / ﻿47.29861°N 12.23639°E﻿ / 47.29861; 12.23639﻿ (1266. Steinkogel (2299 m))
","Kitzbühel Alps
","II/B-23.II-A
","Salzburg
","AT
"
222,"1267
","Mutteristock
",2294.0,744.0,"47°02′54″N 08°56′35″E﻿ / ﻿47.04833°N 8.94306°E﻿ / 47.04833; 8.94306﻿ (1267. Mutteristock (2294 m))
","Schwyz Alps
","I/B-14.IV-C
","Glarus / Schwyz
","CH
"
223,"1268
","Lastìa de Framónt
",2294.0,361.0,"46°18′51″N 12°02′07″E﻿ / ﻿46.31417°N 12.03528°E﻿ / 46.31417; 12.03528﻿ (1268. Lastìa de Framónt (2294 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
"
224,"1269
","Höllwand
",2287.0,494.0,"47°16′57″N 13°09′50″E﻿ / ﻿47.28250°N 13.16389°E﻿ / 47.28250; 13.16389﻿ (1269. Höllwand (2287 m))
","Ankogel Group
","II/A-17.II-F
","Salzburg
","AT
"
225,"1270
","Lumkofel [de]
",2287.0,340.0,"46°43′16″N 12°50′32″E﻿ / ﻿46.72111°N 12.84222°E﻿ / 46.72111; 12.84222﻿ (1270. Lumkofel (2287 m))
","Gailtal Alps
","II/C-33.II-B
","Carinthia
","AT
"
226,"1271
","Stadelhorn
",2286.0,1121.0,"47°35′34″N 12°47′45″E﻿ / ﻿47.59278°N 12.79583°E﻿ / 47.59278; 12.79583﻿ (1271. Stadelhorn (2286 m))
","Berchtesgaden Alps
","II/B-24.III-D
","Salzburg / Bavaria
","AT/DE
"
227,"1272
","Montagne de Coste Longue
",2286.0,382.0,"44°08′02″N 06°29′07″E﻿ / ﻿44.13389°N 6.48528°E﻿ / 44.13389; 6.48528﻿ (1272. Montagne de Coste Longue (2286 m))
","Provence Alps
","I/A-03.II-A
","Alpes-de-Haute-Provence
","FR
"
228,"1273
","Ochsenkopf
",2286.0,341.0,"47°06′53″N 09°37′29″E﻿ / ﻿47.11472°N 9.62472°E﻿ / 47.11472; 9.62472﻿ (1273. Ochsenkopf (2286 m))
","Rätikon
","II/A-15.VIII-A
","Vorarlberg / Liechtenstein
","AT/LI
"
229,"1274
","Grande Moucherolle [fr]
",2284.0,454.0,"45°00′20″N 05°33′57″E﻿ / ﻿45.00556°N 5.56583°E﻿ / 45.00556; 5.56583﻿ (1274. Grande Moucherolle (2284 m))
","Vercors Massif
","I/A-06.III-A
","Isère
","FR
"
230,"1275
","Rautispitz
",2283.0,465.0,"47°04′16″N 09°01′42″E﻿ / ﻿47.07111°N 9.02833°E﻿ / 47.07111; 9.02833﻿ (1275. Rautispitz (2283 m))
","Schwyz Alps
","I/B-14.IV-C
","Glarus
","CH
"
231,"1276
","Druesberg
",2282.0,709.0,"47°00′15″N 08°50′01″E﻿ / ﻿47.00417°N 8.83361°E﻿ / 47.00417; 8.83361﻿ (1276. Druesberg (2282 m))
","Schwyz Alps
","I/B-14.IV-A
","Schwyz
","CH
"
232,"1277
","Trogkofel
",2280.0,736.0,"46°34′14″N 13°13′01″E﻿ / ﻿46.57056°N 13.21694°E﻿ / 46.57056; 13.21694﻿ (1277. Trogkofel / Creta di Aip (2280 m))
","Carnic Alps
","II/C-33.I-B
","Carinthia / Udine
","AT/IT
"
233,"1278
","Großer Daumen
",2280.0,354.0,"47°26′29″N 10°22′32″E﻿ / ﻿47.44139°N 10.37556°E﻿ / 47.44139; 10.37556﻿ (1278. Großer Daumen (2280 m))
","Allgäu Alps
","II/B-22.II-C
","Bavaria
","DE
"
234,"1279
","Brisi
",2279.0,325.0,"47°09′12″N 09°16′36″E﻿ / ﻿47.15333°N 9.27667°E﻿ / 47.15333; 9.27667﻿ (1279. Brisi (2279 m))
","Appenzell Alps
","I/B-14.V-A
","St. Gallen
","CH
"
235,"1280
","Rauer Knöll [de]
",2278.0,330.0,"47°23′13″N 11°37′24″E﻿ / ﻿47.38694°N 11.62333°E﻿ / 47.38694; 11.62333﻿ (1280. Rauer Knöll (2278 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
236,"1281
","Hochschwab
",2277.0,1045.0,"47°37′06″N 15°08′32″E﻿ / ﻿47.61833°N 15.14222°E﻿ / 47.61833; 15.14222﻿ (1281. Hochschwab (2277 m))
","Hochschwab
","II/B-26.II-A
","Styria
","AT
"
237,"1282
","Jauken (Torkofel)
",2276.0,661.0,"46°42′07″N 13°04′36″E﻿ / ﻿46.70194°N 13.07667°E﻿ / 46.70194; 13.07667﻿ (1282. Jauken (Torkofel) (2276 m))
","Gailtal Alps
","II/C-33.II-D
","Carinthia
","AT
"
238,"1283
","Kronplatz (Spitzhörnle)
",2275.0,513.0,"46°44′20″N 11°57′29″E﻿ / ﻿46.73889°N 11.95806°E﻿ / 46.73889; 11.95806﻿ (1283. Kronplatz (Spitzhörnle) (2275 m))
","Dolomites – NE
","II/C-31.I-B
","South Tyrol
","IT
"
239,"1284
","Leilachspitze
",2274.0,423.0,"47°26′19″N 10°32′46″E﻿ / ﻿47.43861°N 10.54611°E﻿ / 47.43861; 10.54611﻿ (1284. Leilachspitze (2274 m))
","Allgäu Alps
","II/B-22.II-C
","North Tyrol
","AT
"
240,"1285
","Tosc
",2273.0,300.0,"46°21′24″N 13°52′06″E﻿ / ﻿46.35667°N 13.86833°E﻿ / 46.35667; 13.86833﻿ (1285. Tosc (2273 m))
","Julian Alps
","II/C-34.I-E
","Slovenia
","SI
"
241,"1286
","Rotgschirr [de]
",2270.0,376.0,"47°42′06″N 13°59′47″E﻿ / ﻿47.70167°N 13.99639°E﻿ / 47.70167; 13.99639﻿ (1286. Rotgschirr (2270 m))
","Totes Gebirge
","II/B-25.III-A
","Styria / Upper Austria
","AT
"
242,"1287
","Monte Chiadin
",2269.0,540.0,"46°35′50″N 12°44′18″E﻿ / ﻿46.59722°N 12.73833°E﻿ / 46.59722; 12.73833﻿ (1287. Monte Chiadin (2269 m))
","Carnic Alps
","II/C-33.I-A
","Belluno / Udine
","IT
"
243,"1288
","Monte Vacalizza
",2266.0,326.0,"46°18′18″N 12°28′36″E﻿ / ﻿46.30500°N 12.47667°E﻿ / 46.30500; 12.47667﻿ (1288. Monte Vacalizza (2266 m))
","Carnic Prealps
","II/C-33.III-A
","Pordenone
","IT
"
244,"1289
","Hochschottwies
",2262.0,344.0,"47°30′51″N 13°07′29″E﻿ / ﻿47.51417°N 13.12472°E﻿ / 47.51417; 13.12472﻿ (1289. Hochschottwies (2262 m))
","Berchtesgaden Alps
","II/B-24.III-B
","Salzburg
","AT
"
245,"1290
","Cima Carega [it]
",2259.0,1185.0,"45°43′27″N 11°07′48″E﻿ / ﻿45.72417°N 11.13000°E﻿ / 45.72417; 11.13000﻿ (1290. Cima Carega (2259 m))
","Venetian Prealps
","II/C-32.II-B
","Trentino
","IT
"
246,"1291
","Höfats
",2259.0,478.0,"47°22′01″N 10°20′59″E﻿ / ﻿47.36694°N 10.34972°E﻿ / 47.36694; 10.34972﻿ (1291. Höfats (2259 m))
","Allgäu Alps
","II/B-22.II-C
","Bavaria
","DE
"
247,"1292
","Croix de Rougny
",2259.0,305.0,"44°51′33″N 05°59′58″E﻿ / ﻿44.85917°N 5.99944°E﻿ / 44.85917; 5.99944﻿ (1292. Croix de Rougny (2259 m))
","Massif des Écrins
","I/A-05.III-D
","Isère
","FR
"
248,"1293
","Soiernspitze
",2257.0,833.0,"47°28′54″N 11°21′27″E﻿ / ﻿47.48167°N 11.35750°E﻿ / 47.48167; 11.35750﻿ (1293. Soiernspitze (2257 m))
","Karwendel
","II/B-21.IV-B
","Bavaria
","DE
"
249,"1294
","Monte Cadria
",2254.0,1434.0,"45°56′19″N 10°41′53″E﻿ / ﻿45.93861°N 10.69806°E﻿ / 45.93861; 10.69806﻿ (1294. Monte Cadria (2254 m))
","Garda Prealps
","II/C-30.II-A
","Trentino
","IT
"
250,"1295
","Dent de Savigny
",2252.0,853.0,"46°32′59″N 07°13′36″E﻿ / ﻿46.54972°N 7.22667°E﻿ / 46.54972; 7.22667﻿ (1295. Dent de Savigny (2252 m))
","Fribourg Prealps
","I/B-14.I-B
","Fribourg / Vaud
","CH
"
251,"1296
","Hirschkopf
",2252.0,305.0,"47°13′57″N 12°56′33″E﻿ / ﻿47.23250°N 12.94250°E﻿ / 47.23250; 12.94250﻿ (1296. Hirschkopf (2252 m))
","Goldberg Group
","II/A-17.II-E
","Salzburg
","AT
"
252,"1297
","Admonter Reichenstein
",2251.0,812.0,"47°32′57″N 14°32′39″E﻿ / ﻿47.54917°N 14.54417°E﻿ / 47.54917; 14.54417﻿ (1297. Admonter Reichenstein (2251 m))
","Ennstal Alps
","II/B-26.I-B
","Styria
","AT
"
253,"1298
","Cimon del Cavallo
",2251.0,380.0,"46°08′00″N 12°29′47″E﻿ / ﻿46.13333°N 12.49639°E﻿ / 46.13333; 12.49639﻿ (1298. Cimon del Cavallo (2251 m))
","Venetian Prealps
","II/C-32.II-B
","Belluno / Pordenone
","IT
"
254,"1299
","Punta Setteventi
",2250.0,358.0,"45°51′37″N 10°23′34″E﻿ / ﻿45.86028°N 10.39278°E﻿ / 45.86028; 10.39278﻿ (1299. Pta Setteventi (2250 m))
","Brescia Prealps
","II/C-30.I-A
","Brescia
","IT
"
255,"1300
","Morgenberghorn
",2249.0,370.0,"46°37′20″N 07°47′37″E﻿ / ﻿46.62222°N 7.79361°E﻿ / 46.62222; 7.79361﻿ (1300. Morgenberghorn (2249 m))
","Bernese Alps
","I/B-14.II-B
","Bern
","CH
"
256,"1301
","Hochkogel
",2249.0,311.0,"47°19′42″N 12°37′01″E﻿ / ﻿47.32833°N 12.61694°E﻿ / 47.32833; 12.61694﻿ (1301. Hochkogel (2249 m))
","Kitzbühel Alps
","II/B-23.II-C
","Salzburg
","AT
"
257,"1302
","Rötelstein
",2247.0,424.0,"47°27′26″N 13°33′19″E﻿ / ﻿47.45722°N 13.55528°E﻿ / 47.45722; 13.55528﻿ (1302. Rötelstein (2247 m))
","Dachstein Mts
","II/B-25.I-B
","Salzburg
","AT
"
258,"1303
","Gaishorn [de]
",2247.0,388.0,"47°28′12″N 10°28′37″E﻿ / ﻿47.47000°N 10.47694°E﻿ / 47.47000; 10.47694﻿ (1303. Gaishorn (2247 m))
","Allgäu Alps
","II/B-22.II-C
","North Tyrol
","AT
"
259,"1304
","Sparafeld [de]
",2247.0,361.0,"47°32′58″N 14°31′49″E﻿ / ﻿47.54944°N 14.53028°E﻿ / 47.54944; 14.53028﻿ (1304. Sparafeld (2247 m))
","Ennstal Alps
","II/B-26.I-B
","Styria
","AT
"
260,"1305
","Pizzo di Gino
",2245.0,367.0,"46°07′25″N 09°08′42″E﻿ / ﻿46.12361°N 9.14500°E﻿ / 46.12361; 9.14500﻿ (1305. Pizzo di Gino (2245 m))
","Lugano Prealps
","I/B-11.I-A
","Como
","IT
"
261,"1306
","Großer Pyhrgas
",2244.0,1290.0,"47°39′09″N 14°23′53″E﻿ / ﻿47.65250°N 14.39806°E﻿ / 47.65250; 14.39806﻿ (1306. Großer Pyhrgas (2244 m))
","Ennstal Alps
","II/B-26.I-A
","Styria / Upper Austria
","AT
"
262,"1307
","Roc d'Enfer
",2244.0,1081.0,"46°11′23″N 06°36′43″E﻿ / ﻿46.18972°N 6.61194°E﻿ / 46.18972; 6.61194﻿ (1307. Roc d'Enfer (2244 m))
","Chablais Alps
","I/B-08.III-C
","Haute-Savoie
","FR
"
263,"1308
","Krn
",2244.0,609.0,"46°15′58″N 13°39′30″E﻿ / ﻿46.26611°N 13.65833°E﻿ / 46.26611; 13.65833﻿ (1308. Krn (2244 m))
","Julian Alps
","II/C-34.I-F
","Slovenia
","SI
"
264,"1309
","Piz di Mezzodì [it]
",2240.0,1248.0,"46°13′08″N 12°02′10″E﻿ / ﻿46.21889°N 12.03611°E﻿ / 46.21889; 12.03611﻿ (1309. Piz di Mezzodì (2240 m))
","Dolomites – SE
","II/C-31.II-B
","Belluno
","IT
"
265,"
","Rosskofel /M Cavallo di Pontebba [pl]
",2239.0,297.0,"46°33′02″N 13°14′25″E﻿ / ﻿46.55056°N 13.24028°E﻿ / 46.55056; 13.24028﻿ (Rosskofel /M Cavallo di Pontebba (2239 m))
","Carnic Alps
","II/C-33.I-B
","Carinthia / Udine
","AT/IT
"
266,"1310
","Köllenspitze
",2238.0,1088.0,"47°29′56″N 10°37′49″E﻿ / ﻿47.49889°N 10.63028°E﻿ / 47.49889; 10.63028﻿ (1310. Köllenspitze (2238 m))
","Allgäu Alps
","II/B-22.II-E
","North Tyrol
","AT
"
267,"1311
","Hochstuhl / Veliki Stol
",2237.0,1021.0,"46°26′01″N 14°10′29″E﻿ / ﻿46.43361°N 14.17472°E﻿ / 46.43361; 14.17472﻿ (1311. Hochstuhl / Veliki Stol (2237 m))
","Karawanks
","II/C-35.I-A
","Carinthia / Slovenia
","AT/SI
"
268,"1312
","Monte Larone
",2237.0,415.0,"46°13′09″N 08°21′46″E﻿ / ﻿46.21917°N 8.36278°E﻿ / 46.21917; 8.36278﻿ (1312. Monte Larone (2237 m))
","Ticino Alps
","I/B-10.II-A
","V-C-O
","IT
"
269,"1313
","Latschur
",2236.0,1268.0,"46°44′18″N 13°23′48″E﻿ / ﻿46.73833°N 13.39667°E﻿ / 46.73833; 13.39667﻿ (1313. Latschur (2236 m))
","Gailtal Alps
","II/C-33.II-E
","Carinthia
","AT
"
270,"1314
","Croise Baulet [fr]
",2236.0,435.0,"45°53′56″N 06°33′10″E﻿ / ﻿45.89889°N 6.55278°E﻿ / 45.89889; 6.55278﻿ (1314. Croise Baulet (2236 m))
","Aravis Range
","I/B-08.IV-A
","Haute-Savoie
","FR
"
271,"1315
","Schafberg
",2235.0,726.0,"46°38′13″N 07°18′59″E﻿ / ﻿46.63694°N 7.31639°E﻿ / 46.63694; 7.31639﻿ (1315. Schafberg (2235 m))
","Fribourg Prealps
","I/B-14.I-B
","Bern / Fribourg
","CH
"
272,"1316
","Pasubio (Cima Palon)
",2232.0,1070.0,"45°47′32″N 11°10′35″E﻿ / ﻿45.79222°N 11.17639°E﻿ / 45.79222; 11.17639﻿ (1316. Pasubio (Cima Palon) (2232 m))
","Vicentine Alps
","II/C-32.I-B
","Trentino
","IT
"
273,"1317
","Pointe d'Almet
",2232.0,511.0,"45°58′53″N 06°31′19″E﻿ / ﻿45.98139°N 6.52194°E﻿ / 45.98139; 6.52194﻿ (1317. Pte d'Almet (2232 m))
","Bornes Massif
","I/B-08.IV-B
","Haute-Savoie
","FR
"
274,"1318
","Geierkogel
",2231.0,326.0,"47°23′59″N 14°29′59″E﻿ / ﻿47.39972°N 14.49972°E﻿ / 47.39972; 14.49972﻿ (1318. Geierkogel (2231 m))
","Seckau Tauern
","II/A-18.IV-A
","Styria
","AT
"
275,"1319
","Hoher Ifen
",2230.0,478.0,"47°21′16″N 10°06′00″E﻿ / ﻿47.35444°N 10.10000°E﻿ / 47.35444; 10.10000﻿ (1319. Hoher Ifen (2230 m))
","Allgäu Alps
","II/B-22.II-A
","Vorarlberg / Bavaria
","AT/DE
"
276,"1320
","Monte Messer
",2230.0,328.0,"46°10′31″N 12°27′18″E﻿ / ﻿46.17528°N 12.45500°E﻿ / 46.17528; 12.45500﻿ (1320. Monte Messer (2230 m))
","Venetian Prealps
","II/C-32.II-B
","Belluno / Pordenone
","IT
"
277,"1321
","Monte Lavanech
",2229.0,336.0,"45°57′05″N 10°32′36″E﻿ / ﻿45.95139°N 10.54333°E﻿ / 45.95139; 10.54333﻿ (1321. Monte Lavanech (2229 m))
","Adamello-Presanella Alps
","II/C-28.III-A
","Trentino
","IT
"
278,"1322
","Monte Borga
",2228.0,438.0,"46°17′37″N 12°20′58″E﻿ / ﻿46.29361°N 12.34944°E﻿ / 46.29361; 12.34944﻿ (1322. Monte Borga (2228 m))
","Carnic Prealps
","II/C-33.III-A
","Belluno / Pordenone
","IT
"
279,"1323
","Gumpeneck [de]
",2226.0,356.0,"47°23′50″N 14°00′53″E﻿ / ﻿47.39722°N 14.01472°E﻿ / 47.39722; 14.01472﻿ (1323. Gumpeneck (2226 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
280,"1324
","Großer Buchstein [de]
",2224.0,1363.0,"47°36′32″N 14°36′15″E﻿ / ﻿47.60889°N 14.60417°E﻿ / 47.60889; 14.60417﻿ (1324. Großer Buchstein (2224 m))
","Ennstal Alps
","II/B-26.I-B
","Styria
","AT
"
281,"1325
","Kalški Greben
",2224.0,431.0,"46°19′53″N 14°32′17″E﻿ / ﻿46.33139°N 14.53806°E﻿ / 46.33139; 14.53806﻿ (1325. Kalški Greben (2224 m))
","Kamnik Alps
","II/C-35.II-B
","Slovenia
","SI
"
282,"1326
","Rappenspitze [de]
",2223.0,323.0,"47°24′08″N 11°38′45″E﻿ / ﻿47.40222°N 11.64583°E﻿ / 47.40222; 11.64583﻿ (1326. Rappenspitze (2223 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
283,"1327
","Sosto
",2221.0,524.0,"46°32′54″N 08°57′07″E﻿ / ﻿46.54833°N 8.95194°E﻿ / 46.54833; 8.95194﻿ (1327. Sosto (2221 m))
","Adula Alps
","I/B-10.III-B
","Ticino
","CH
"
284,"1328
","Dent d'Oche
",2221.0,306.0,"46°21′12″N 06°43′52″E﻿ / ﻿46.35333°N 6.73111°E﻿ / 46.35333; 6.73111﻿ (1328. Dent d'Oche (2221 m))
","Chablais Alps
","I/B-08.III-B
","Haute-Savoie
","FR
"
285,"1329
","Hochrettelstein
",2220.0,341.0,"47°25′29″N 14°13′58″E﻿ / ﻿47.42472°N 14.23278°E﻿ / 47.42472; 14.23278﻿ (1329. Hochrettelstein (2220 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
286,"1330
","Hochkarfelderkopf
",2219.0,320.0,"47°31′09″N 13°21′20″E﻿ / ﻿47.51917°N 13.35556°E﻿ / 47.51917; 13.35556﻿ (1330. Hochkarfelderkopf (2219 m))
","Tennen Mountains
","II/B-24.IV-A
","Salzburg
","AT
"
287,"1331
","Cima Valdritta
",2218.0,1950.0,"45°43′35″N 10°50′38″E﻿ / ﻿45.72639°N 10.84389°E﻿ / 45.72639; 10.84389﻿ (1331. Cima Valdritta (2218 m))
","Garda Mountains
","II/C-30.II-C
","Verona / Trentino
","IT
"
288,"1332
","Pointe d'Arcalod
",2217.0,1713.0,"45°40′54″N 06°13′42″E﻿ / ﻿45.68167°N 6.22833°E﻿ / 45.68167; 6.22833﻿ (1332. Pte d'Arcalod (2217 m))
","Bauges
","I/B-08.V-A
","Savoie
","FR
"
289,"1333
","Lugauer [de]
",2217.0,659.0,"47°33′13″N 14°43′22″E﻿ / ﻿47.55361°N 14.72278°E﻿ / 47.55361; 14.72278﻿ (1333. Lugauer (2217 m))
","Ennstal Alps
","II/B-26.I-B
","Styria
","AT
"
290,"1334
","Kleiner Rettenstein
",2216.0,503.0,"47°20′11″N 12°20′30″E﻿ / ﻿47.33639°N 12.34167°E﻿ / 47.33639; 12.34167﻿ (1334. Kleiner Rettenstein (2216 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol
","AT
"
291,"1335
","Les Jumelles
",2215.0,365.0,"46°21′07″N 06°48′44″E﻿ / ﻿46.35194°N 6.81222°E﻿ / 46.35194; 6.81222﻿ (1335. Les Jumelles (2215 m))
","Chablais Alps
","I/B-08.III-B
","Valais
","CH
"
292,"1336
","Steinbergstein
",2215.0,313.0,"47°20′29″N 12°11′25″E﻿ / ﻿47.34139°N 12.19028°E﻿ / 47.34139; 12.19028﻿ (1336. Steinbergstein (2215 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol
","AT
"
293,"1337
","Gößeck [de]
",2214.0,832.0,"47°26′53″N 14°53′59″E﻿ / ﻿47.44806°N 14.89972°E﻿ / 47.44806; 14.89972﻿ (1337. Gößeck (2214 m))
","Ennstal Alps
","II/B-26.I-C
","Styria
","AT
"
294,"1338
","Schwarzwand
",2214.0,480.0,"47°00′27″N 13°41′35″E﻿ / ﻿47.00750°N 13.69306°E﻿ / 47.00750; 13.69306﻿ (1338. Schwarzwand (2214 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia / Salzburg
","AT
"
295,"1339
","Aineck
",2210.0,515.0,"47°03′20″N 13°38′18″E﻿ / ﻿47.05556°N 13.63833°E﻿ / 47.05556; 13.63833﻿ (1339. Aineck (2210 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia / Salzburg
","AT
"
296,"1340
","Würflinghöhe
",2210.0,460.0,"47°00′27″N 13°57′06″E﻿ / ﻿47.00750°N 13.95167°E﻿ / 47.00750; 13.95167﻿ (1340. Würflinghöhe (2210 m))
","Nock Mountains
","II/A-19.I-A
","Styria
","AT
"
297,"1341
","Monte La Palazza
",2210.0,417.0,"46°18′38″N 12°21′21″E﻿ / ﻿46.31056°N 12.35583°E﻿ / 46.31056; 12.35583﻿ (1341. Monte La Palazza (2210 m))
","Carnic Prealps
","II/C-33.III-A
","Belluno / Pordenone
","IT
"
298,"1342
","Rombon [sl]
",2208.0,310.0,"46°22′02″N 13°33′14″E﻿ / ﻿46.36722°N 13.55389°E﻿ / 46.36722; 13.55389﻿ (1342. Rombon (2208 m))
","Julian Alps
","II/C-34.I-B
","Slovenia
","SI
"
