,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
"
194,"721
","Graunock
",2827.0,419.0,"46°53′10″N 11°47′20″E﻿ / ﻿46.88611°N 11.78889°E﻿ / 46.88611; 11.78889﻿ (721. Graunock (2827 m))
","Zillertal Alps
","II/A-17.I-B
","South Tyrol
","IT
","
"
195,"722
","Cime de Bolofré
",2827.0,308.0,"44°13′23″N 06°50′07″E﻿ / ﻿44.22306°N 6.83528°E﻿ / 44.22306; 6.83528﻿ (722. Cime de Bolofré (2827 m))
","Maritime Alps
","I/A-02.I-D
","Alpes Maritimes
","FR
","
"
196,"723
","Madrisahorn
",2826.0,600.0,"46°55′52″N 09°52′20″E﻿ / ﻿46.93111°N 9.87222°E﻿ / 46.93111; 9.87222﻿ (723. Madrisahorn (2826 m))
","Rätikon
","II/A-15.VIII-A
","Graubünden
","CH
","
"
197,"724
","Kalkwand
",2826.0,342.0,"47°09′14″N 11°39′42″E﻿ / ﻿47.15389°N 11.66167°E﻿ / 47.15389; 11.66167﻿ (724. Kalkwand (2826 m))
","Tux Alps
","II/B-23.I-B
","North Tyrol
","AT
","
"
198,"725
","Grand Perron des Encombres
",2824.0,442.0,"45°17′52″N 06°27′01″E﻿ / ﻿45.29778°N 6.45028°E﻿ / 45.29778; 6.45028﻿ (725. Grand Perron des Encombres (2824 m))
","Vanoise massif
","I/B-07.II-E
","Savoie
","FR
","
"
199,"726
","Tête de l'Hivernet
",2824.0,330.0,"44°37′12″N 06°27′11″E﻿ / ﻿44.62000°N 6.45306°E﻿ / 44.62000; 6.45306﻿ (726. Tête de l'Hivernet (2824 m))
","Massif des Écrins
","I/A-05.III-C
","Hautes-Alpes
","FR
","
"
200,"727
","Hoher Herd
",2824.0,313.0,"47°11′58″N 12°27′00″E﻿ / ﻿47.19944°N 12.45000°E﻿ / 47.19944; 12.45000﻿ (727. Hoher Herd (2824 m))
","Venediger Group
","II/A-17.II-A
","Salzburg
","AT
","
"
201,"728
","Hochmaderer
",2823.0,318.0,"46°55′43″N 10°01′43″E﻿ / ﻿46.92861°N 10.02861°E﻿ / 46.92861; 10.02861﻿ (728. Hochmaderer (2823 m))
","Silvretta
","II/A-15.VI-A
","Vorarlberg
","AT
","1853
"
202,"729
","Le Bellachat
",2822.0,351.0,"45°22′47″N 06°23′49″E﻿ / ﻿45.37972°N 6.39694°E﻿ / 45.37972; 6.39694﻿ (729. Le Bellachat (2822 m))
","Vanoise massif
","I/B-07.II-E
","Savoie
","FR
","
"
203,"
","Riedbock[Note 9]
",2822.0,297.0,"46°55′43″N 13°21′24″E﻿ / ﻿46.92861°N 13.35667°E﻿ / 46.92861; 13.35667﻿ (Riedbock  (2822 m))
","Ankogel Group
","II/A-17.II-F
","Carinthia
","AT
","
"
204,"730
","Monfandì [it]
",2820.0,405.0,"45°31′19″N 07°37′10″E﻿ / ﻿45.52194°N 7.61944°E﻿ / 45.52194; 7.61944﻿ (730. Monfandì (2820 m))
","Gran Paradiso Alps
","I/B-07.IV-B
","Turin
","IT
","
"
205,"731
","Sulzfluh
",2818.0,475.0,"47°00′45″N 09°50′23″E﻿ / ﻿47.01250°N 9.83972°E﻿ / 47.01250; 9.83972﻿ (731. Sulzfluh (2818 m))
","Rätikon
","II/A-15.VIII-A
","Vorarlb/Graub.
","AT/CH
","1782
"
206,"732
","Mont Mounier [fr]
",2817.0,613.0,"44°09′17″N 06°58′21″E﻿ / ﻿44.15472°N 6.97250°E﻿ / 44.15472; 6.97250﻿ (732. Mont Mounier (2817 m))
","Maritime Alps
","I/A-02.I-D
","Alpes Maritimes
","FR
","
"
207,"733
","Dosso Resaccio
",2814.0,519.0,"46°30′04″N 10°13′12″E﻿ / ﻿46.50111°N 10.22000°E﻿ / 46.50111; 10.22000﻿ (733. Dosso Resaccio (2814 m))
","Livigno Alps
","II/A-15.IV-B
","Sondrio
","IT
","
"
208,"734
","Sass Maòr
",2814.0,371.0,"46°13′57″N 11°50′53″E﻿ / ﻿46.23250°N 11.84806°E﻿ / 46.23250; 11.84806﻿ (734. Sass Maòr (2814 m))
","Dolomites - S
","II/C-31.IV-A
","Trentino
","IT
","1875
"
209,"735
","Vallüla
",2813.0,776.0,"46°56′15″N 10°06′45″E﻿ / ﻿46.93750°N 10.11250°E﻿ / 46.93750; 10.11250﻿ (735. Vallüla (2813 m))
","Silvretta
","II/A-15.VI-A
","N-Tyrol/Vorarlb.
","AT
","1866
"
210,"736
","Cima delle Lose [it]
",2813.0,352.0,"44°22′20″N 06°55′30″E﻿ / ﻿44.37222°N 6.92500°E﻿ / 44.37222; 6.92500﻿ (736. Cima delle Lose (2813 m))
","Maritime Alps
","I/A-02.I-C
","Cuneo
","IT
","
"
211,"737
","Frate della Meia
",2812.0,387.0,"45°45′32″N 07°55′27″E﻿ / ﻿45.75889°N 7.92417°E﻿ / 45.75889; 7.92417﻿ (737. Frate della Meia (2812 m))
","Monte Rosa Alps
","I/B-09.III-C
","Vercelli
","IT
","
"
212,"738
","Seekofel / Sas dla Porta
",2810.0,478.0,"46°40′30″N 12°04′21″E﻿ / ﻿46.67500°N 12.07250°E﻿ / 46.67500; 12.07250﻿ (738. Seekofel / Sas dla Porta (2810 m))
","Dolomites - NE
","II/C-31.I-B
","Belluno/S-Tyrol
","IT
","
"
213,"739
","Valluga
",2809.0,572.0,"47°09′27″N 10°12′47″E﻿ / ﻿47.15750°N 10.21306°E﻿ / 47.15750; 10.21306﻿ (739. Valluga (2809 m))
","Lechtal Alps
","II/B-21.I-A
","N-Tyrol/Vorarlb.
","AT
","1877
"
214,"740
","Monte Campellio
",2809.0,315.0,"46°03′05″N 10°28′38″E﻿ / ﻿46.05139°N 10.47722°E﻿ / 46.05139; 10.47722﻿ (740. Monte Campellio (2809 m))
","Adamello-Presanella
","II/C-28.III-A
","Brescia/Trentino
","IT
","
"
215,"741
","Peiderspitze[Note 10]
",2808.0,408.0,"47°13′11″N 11°07′18″E﻿ / ﻿47.21972°N 11.12167°E﻿ / 47.21972; 11.12167﻿ (741. Peiderspitze  (2808 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
","1888
"
216,"741
","Seejoch[Note 10]
",2808.0,408.0,"47°13′28″N 11°06′11″E﻿ / ﻿47.22444°N 11.10306°E﻿ / 47.22444; 11.10306﻿ (741. Seejoch  (2808 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
","1888
"
217,"743
","Pizzo Castello
",2808.0,385.0,"46°24′56″N 08°33′55″E﻿ / ﻿46.41556°N 8.56528°E﻿ / 46.41556; 8.56528﻿ (743. Pizzo Castello (2808 m))
","Ticino Alps
","I/B-10.II-A
","Ticino
","CH
","
"
218,"744
","Pic du Frêne
",2807.0,521.0,"45°21′09″N 06°11′54″E﻿ / ﻿45.35250°N 6.19833°E﻿ / 45.35250; 6.19833﻿ (744. Pic du Frêne (2807 m))
","Belledonne
","I/A-05.II-A
","Isère/Savoie
","FR
","
"
219,"745
","Haldensteiner Calanda
",2805.0,1460.0,"46°54′00″N 09°28′03″E﻿ / ﻿46.90000°N 9.46750°E﻿ / 46.90000; 9.46750﻿ (745. Haldensteiner Calanda (2805 m))
","Glarus Alps
","I/B-13.II-B
","Graub./StGallen
","CH
","1559
"
220,"746
","Cima de Gagela
",2805.0,723.0,"46°23′03″N 09°10′29″E﻿ / ﻿46.38417°N 9.17472°E﻿ / 46.38417; 9.17472﻿ (746. Cima de Gagela (2805 m))
","Adula Alps
","I/B-10.III-B
","Graubünden
","CH
","
"
221,"747
","Tête à l'Âne
",2804.0,540.0,"45°59′14″N 06°46′47″E﻿ / ﻿45.98722°N 6.77972°E﻿ / 45.98722; 6.77972﻿ (747. Tête à l'Âne (2804 m))
","Chablais Alps
","I/B-08.II-A
","Haute-Savoie
","FR
","
"
222,"748
","Corona di Redorta
",2804.0,481.0,"46°22′32″N 08°43′56″E﻿ / ﻿46.37556°N 8.73222°E﻿ / 46.37556; 8.73222﻿ (748. Corona di Redorta (2804 m))
","Ticino Alps
","I/B-10.II-D
","Ticino
","CH
","
"
223,"749
","Schlicker Seespitze
",2804.0,327.0,"47°08′44″N 11°16′24″E﻿ / ﻿47.14556°N 11.27333°E﻿ / 47.14556; 11.27333﻿ (749. Schlicker Seespitze (2804 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
","1879
"
224,"750
","Bös Fulen
",2802.0,367.0,"46°58′02″N 08°56′45″E﻿ / ﻿46.96722°N 8.94583°E﻿ / 46.96722; 8.94583﻿ (750. Bös Fulen (2802 m))
","Schwyz Alps
","I/B-13.I-B
","Glarus/Schwyz
","CH
","
"
225,"751
","Cima di Ball
",2802.0,352.0,"46°14′35″N 11°50′40″E﻿ / ﻿46.24306°N 11.84444°E﻿ / 46.24306; 11.84444﻿ (751. Cima di Ball (2802 m))
","Dolomites - S
","II/C-31.IV-A
","Trentino
","IT
","1869
"
226,"752
","Corno Mud
",2802.0,317.0,"45°53′04″N 07°57′50″E﻿ / ﻿45.88444°N 7.96389°E﻿ / 45.88444; 7.96389﻿ (752. Corno Mud (2802 m))
","Monte Rosa Alps
","I/B-09.III-C
","Vercelli
","IT
","
"
227,"753
","Rollspitze
",2800.0,588.0,"46°56′47″N 11°30′28″E﻿ / ﻿46.94639°N 11.50778°E﻿ / 46.94639; 11.50778﻿ (753. Rollspitze (2800 m))
","Zillertal Alps
","II/A-17.I-A
","South Tyrol
","IT
","
"
228,"754
","Rosenjoch
",2796.0,466.0,"47°10′48″N 11°32′36″E﻿ / ﻿47.18000°N 11.54333°E﻿ / 47.18000; 11.54333﻿ (754. Rosenjoch (2796 m))
","Tux Alps
","II/B-23.I-A
","North Tyrol
","AT
","
"
229,"755
","Col Bechei / Pareispitze
",2794.0,622.0,"46°36′28″N 12°02′40″E﻿ / ﻿46.60778°N 12.04444°E﻿ / 46.60778; 12.04444﻿ (755. Col Bechei / Pareispitze (2794 m))
","Dolomites - NE
","II/C-31.I-C
","Belluno/S-Tyrol
","IT
","
"
230,"756
","Kärpf
",2794.0,533.0,"46°55′00″N 09°05′36″E﻿ / ﻿46.91667°N 9.09333°E﻿ / 46.91667; 9.09333﻿ (756. Kärpf (2794 m))
","Glarus Alps
","I/B-13.II-A
","Glarus
","CH
","
"
231,"757
","Drättehorn
",2794.0,340.0,"46°34′56″N 07°49′26″E﻿ / ﻿46.58222°N 7.82389°E﻿ / 46.58222; 7.82389﻿ (757. Drättehorn (2794 m))
","Bernese Prealps
","I/B-14.II-B
","Bern
","CH
","
"
232,"758
","Pizzo Quadro
",2793.0,470.0,"46°17′55″N 08°25′05″E﻿ / ﻿46.29861°N 8.41806°E﻿ / 46.29861; 8.41806﻿ (758. Pizzo Quadro (2793 m))
","Ticino Alps
","I/B-10.II-A
","Ticino/V-C-O
","CH/IT
","
"
233,"759
","Grand Armet [fr]
",2792.0,920.0,"44°58′55″N 05°56′04″E﻿ / ﻿44.98194°N 5.93444°E﻿ / 44.98194; 5.93444﻿ (759. Grand Armet (2792 m))
","Taillefer Massif
","I/A-05.IV-A
","Isère
","FR
","
"
234,"760
","Punta Ciamberline
",2792.0,325.0,"44°09′56″N 07°21′29″E﻿ / ﻿44.16556°N 7.35806°E﻿ / 44.16556; 7.35806﻿ (760. Pta Ciamberline (2792 m))
","Maritime Alps
","I/A-02.I-B
","Cuneo
","IT
","
"
235,"761
","Grande Tête de l'Obiou
",2790.0,1542.0,"44°46′29″N 05°50′23″E﻿ / ﻿44.77472°N 5.83972°E﻿ / 44.77472; 5.83972﻿ (761. Grande Tête de l'Obiou (2790 m))
","Dauphiné Prealps
","I/A-06.I-B
","Isère
","FR
","
"
236,"762
","Pizzo Marumo
",2790.0,435.0,"46°35′54″N 08°57′34″E﻿ / ﻿46.59833°N 8.95944°E﻿ / 46.59833; 8.95944﻿ (762. Pizzo Marumo (2790 m))
","Adula Alps
","I/B-10.III-A
","Ticino
","CH
","
"
237,"763
","Muntejela de Senes [de]
",2787.0,456.0,"46°40′18″N 12°01′06″E﻿ / ﻿46.67167°N 12.01833°E﻿ / 46.67167; 12.01833﻿ (763. Muntejela de Senes (2787 m))
","Dolomites - NE
","II/C-31.I-B
","South Tyrol
","IT
","
"
238,"764
","Le Luisin
",2786.0,324.0,"46°07′15″N 06°58′12″E﻿ / ﻿46.12083°N 6.97000°E﻿ / 46.12083; 6.97000﻿ (764. Le Luisin (2786 m))
","Chablais Alps
","I/B-08.II-A
","Valais
","CH
","
"
239,"765
","Polinik
",2784.0,1575.0,"46°53′42″N 13°09′29″E﻿ / ﻿46.89500°N 13.15806°E﻿ / 46.89500; 13.15806﻿ (765. Polinik (2784 m))
","Kreuzeck Group
","II/A-17.IV-A
","Carinthia
","AT
","
"
240,"766
","Schrotkopf
",2784.0,430.0,"47°12′32″N 12°32′26″E﻿ / ﻿47.20889°N 12.54056°E﻿ / 47.20889; 12.54056﻿ (766. Schrotkopf (2784 m))
","Granatspitze Group
","II/A-17.II-B
","Salzburg
","AT
","
"
241,"767
","Grande Autane
",2782.0,379.0,"44°38′57″N 06°17′16″E﻿ / ﻿44.64917°N 6.28778°E﻿ / 44.64917; 6.28778﻿ (767. Grande Autane (2782 m))
","Massif des Écrins
","I/A-05.III-C
","Hautes-Alpes
","FR
","
"
242,"768
","Hirzer
",2781.0,751.0,"46°44′14″N 11°16′36″E﻿ / ﻿46.73722°N 11.27667°E﻿ / 46.73722; 11.27667﻿ (768. Hirzer (2781 m))
","Sarntal Alps
","II/A-16.III-A
","South Tyrol
","IT
","
"
243,"769
","Tiejer Flue
",2781.0,345.0,"46°46′51″N 09°44′04″E﻿ / ﻿46.78083°N 9.73444°E﻿ / 46.78083; 9.73444﻿ (769. Tiejer Flue (2781 m))
","Plessur Alps
","II/A-15.VII-B
","Graubünden
","CH
","
"
244,"770
","Hohe Warte / Coglians
",2780.0,1144.0,"46°36′25″N 12°52′59″E﻿ / ﻿46.60694°N 12.88306°E﻿ / 46.60694; 12.88306﻿ (770. Hohe Warte / Coglians (2780 m))
","Carnic Alps
","II/C-33.I-A
","Carinthia/Udine
","AT/IT
","1865
"
245,"771
","Monte dei Corni
",2779.0,315.0,"45°34′15″N 07°38′09″E﻿ / ﻿45.57083°N 7.63583°E﻿ / 45.57083; 7.63583﻿ (771. Monte dei Corni (2779 m))
","Gran Paradiso Alps
","I/B-07.IV-B
","Aosta/Turin
","IT
","
"
246,"772
","Monte Cassorso
",2776.0,339.0,"44°25′04″N 07°01′05″E﻿ / ﻿44.41778°N 7.01806°E﻿ / 44.41778; 7.01806﻿ (772. Monte Cassorso (2776 m))
","Southern Cottian Alps
","I/A-04.I-A
","Cuneo
","IT
","
"
247,"773
","Grun de Saint-Maurice [fr]
",2775.0,323.0,"44°48′58″N 06°03′26″E﻿ / ﻿44.81611°N 6.05722°E﻿ / 44.81611; 6.05722﻿ (773. Grun de Saint-Maurice (2775 m))
","Massif des Écrins
","I/A-05.III-D
","Isère/H-Alpes
","FR
","
"
248,"774
","Imster Muttekopf
",2774.0,300.0,"47°16′02″N 10°39′06″E﻿ / ﻿47.26722°N 10.65167°E﻿ / 47.26722; 10.65167﻿ (774. Imster Muttekopf (2774 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
","
"
249,"775
","Pizzo del Sole
",2773.0,555.0,"46°31′30″N 08°46′04″E﻿ / ﻿46.52500°N 8.76778°E﻿ / 46.52500; 8.76778﻿ (775. Pizzo del Sole (2773 m))
","Leone-Gotthard Alps
","I/B-10.I-B
","Ticino
","CH
","
"
250,"776
","Punta Lunella
",2772.0,471.0,"45°11′50″N 07°12′59″E﻿ / ﻿45.19722°N 7.21639°E﻿ / 45.19722; 7.21639﻿ (776. Pta Lunella (2772 m))
","Graian Alps - SE
","I/B-07.I-A
","Turin
","IT
","1873
"
251,"777
","Große Sandspitze
",2770.0,1245.0,"46°45′59″N 12°48′43″E﻿ / ﻿46.76639°N 12.81194°E﻿ / 46.76639; 12.81194﻿ (777. Große Sandspitze (2770 m))
","Gailtal Alps
","II/C-33.II-B
","East Tyrol
","AT
","1866
"
252,"778
","Madererspitze
",2769.0,495.0,"47°01′30″N 10°04′11″E﻿ / ﻿47.02500°N 10.06972°E﻿ / 47.02500; 10.06972﻿ (778. Madererspitze (2769 m))
","Verwall
","II/A-15.VI-C
","Vorarlberg
","AT
","1865
"
253,"779
","Fallesinspitze
",2769.0,465.0,"47°10′53″N 10°18′01″E﻿ / ﻿47.18139°N 10.30028°E﻿ / 47.18139; 10.30028﻿ (779. Fallesinspitze (2769 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
","
"
254,"
","Hochsteinflache
",2769.0,294.0,"47°09′32″N 11°59′52″E﻿ / ﻿47.15889°N 11.99778°E﻿ / 47.15889; 11.99778﻿ (Hochsteinflache (2769 m))
","Zillertal Alps
","II/A-17.I-D
","North Tyrol
","AT
","
"
255,"780
","Hochplattig
",2768.0,1189.0,"47°21′11″N 10°59′19″E﻿ / ﻿47.35306°N 10.98861°E﻿ / 47.35306; 10.98861﻿ (780. Hochplattig (2768 m))
","Mieminger Chain
","II/B-21.III-A
","North Tyrol
","AT
","1873
"
256,"781
","Il Madone[Note 11]
",2768.0,330.0,"46°29′31″N 08°34′01″E﻿ / ﻿46.49194°N 8.56694°E﻿ / 46.49194; 8.56694﻿ (781. Il Madone  (2768 m))
","Ticino Alps
","I/B-10.II-A
","Ticino
","CH
","
"
257,"782
","Dristner
",2767.0,313.0,"47°06′48″N 11°50′22″E﻿ / ﻿47.11333°N 11.83944°E﻿ / 47.11333; 11.83944﻿ (782. Dristner (2767 m))
","Zillertal Alps
","II/A-17.I-B
","North Tyrol
","AT
","1843
"
258,"783
","Schwarzkopf
",2765.0,365.0,"47°10′01″N 12°51′39″E﻿ / ﻿47.16694°N 12.86083°E﻿ / 47.16694; 12.86083﻿ (783. Schwarzkopf (2765 m))
","Glockner Group
","II/A-17.II-C
","Salzburg
","AT
","
"
259,"784
","Schächentaler Windgällen
",2764.0,691.0,"46°53′17″N 08°47′30″E﻿ / ﻿46.88806°N 8.79167°E﻿ / 46.88806; 8.79167﻿ (784. Schächentaler Windgällen (2764 m))
","Schwyz Alps
","I/B-14.IV-A
","Uri
","CH
","
"
260,"785
","Schwarzberg / Piz Nair
",2764.0,343.0,"46°36′34″N 08°40′40″E﻿ / ﻿46.60944°N 8.67778°E﻿ / 46.60944; 8.67778﻿ (785. Schwarzberg / Piz Nair (2764 m))
","Leone-Gotthard Alps
","I/B-10.I-B
","Graubünden/Uri
","CH
","
"
261,"786
","Albristhorn
",2763.0,823.0,"46°29′53″N 07°29′16″E﻿ / ﻿46.49806°N 7.48778°E﻿ / 46.49806; 7.48778﻿ (786. Albristhorn (2763 m))
","Bernese Prealps
","I/B-14.II-A
","Bern
","CH
","
"
262,"787
","Rotenkogel
",2762.0,555.0,"46°58′48″N 12°35′56″E﻿ / ﻿46.98000°N 12.59889°E﻿ / 46.98000; 12.59889﻿ (787. Rotenkogel (2762 m))
","Granatspitze Group
","II/A-17.II-B
","East Tyrol
","AT
","
"
263,"788
","Rastkogel
",2762.0,470.0,"47°12′15″N 11°45′04″E﻿ / ﻿47.20417°N 11.75111°E﻿ / 47.20417; 11.75111﻿ (788. Rastkogel (2762 m))
","Tux Alps
","II/B-23.I-B
","North Tyrol
","AT
","
"
264,"789
","Pizzo Massari
",2760.0,424.0,"46°28′33″N 08°41′00″E﻿ / ﻿46.47583°N 8.68333°E﻿ / 46.47583; 8.68333﻿ (789. Pizzo Massari (2760 m))
","Ticino Alps
","I/B-10.II-A
","Ticino
","CH
","
"
265,"790
","Dent de Barme
",2759.0,364.0,"46°07′55″N 06°50′31″E﻿ / ﻿46.13194°N 6.84194°E﻿ / 46.13194; 6.84194﻿ (790. Dent de Barme (2759 m))
","Chablais Alps
","I/B-08.II-A
","Valais/Haute-Savoie
","CH/FR
","
"
266,"791
","Grand Ferrand [fr]
",2758.0,523.0,"44°43′21″N 05°48′58″E﻿ / ﻿44.72250°N 5.81611°E﻿ / 44.72250; 5.81611﻿ (791. Grand Ferrand (2758 m))
","Dauphiné Prealps
","I/A-06.I-B
","Isère/H-Alpes
","FR
","1873
"
267,"792
","Reeti / Rötihorn
",2757.0,341.0,"46°39′54″N 08°00′42″E﻿ / ﻿46.66500°N 8.01167°E﻿ / 46.66500; 8.01167﻿ (792. Reeti / Rötihorn (2757 m))
","Bernese Prealps
","I/B-14.II-B
","Bern
","CH
","
"
268,"793
","Ehrenspitze
",2756.0,347.0,"46°45′50″N 11°04′40″E﻿ / ﻿46.76389°N 11.07778°E﻿ / 46.76389; 11.07778﻿ (793. Ehrenspitze (2756 m))
","Ötztal Alps
","II/A-16.I-B
","South Tyrol
","IT
","
"
269,"794
","Roche de l'Abisse/Rocca dell'Abisso [it]
",2755.0,492.0,"44°08′37″N 07°30′18″E﻿ / ﻿44.14361°N 7.50500°E﻿ / 44.14361; 7.50500﻿ (794. Roche de l'Abisse/Rocca dell'Abisso (2755 m))
","Maritime Alps
","I/A-02.I-A
","A-Marit/Cuneo
","FR/IT
","1832
"
270,"795
","Cima di Cece
",2754.0,736.0,"46°15′39″N 11°41′02″E﻿ / ﻿46.26083°N 11.68389°E﻿ / 46.26083; 11.68389﻿ (795. Cima di Cece (2754 m))
","Fiemme Alps
","II/C-31.V-B
","Trentino
","IT
","
"
271,"796
","Monte Telenek
",2754.0,440.0,"46°05′33″N 10°10′45″E﻿ / ﻿46.09250°N 10.17917°E﻿ / 46.09250; 10.17917﻿ (796. Monte Telenek (2754 m))
","Bergamo Alps
","II/C-29.I-A
","Sondrio
","IT
","
"
272,"797
","Jôf dal Montâs
",2753.0,1597.0,"46°26′09″N 13°26′01″E﻿ / ﻿46.43583°N 13.43361°E﻿ / 46.43583; 13.43361﻿ (797. Jôf dal Montâs (2753 m))
","Julian Alps
","II/C-34.I-A
","Udine
","IT
","1877
"
273,"798
","Untere Wildgrubenspitze
",2753.0,980.0,"47°09′54″N 10°07′35″E﻿ / ﻿47.16500°N 10.12639°E﻿ / 47.16500; 10.12639﻿ (798. Untere Wildgrubenspitze (2753 m))
","Lechtal Alps
","II/B-21.I-A
","Vorarlberg
","AT
","
"
274,"799
","Östliche Eisentalerspitze
",2753.0,358.0,"47°04′47″N 10°06′00″E﻿ / ﻿47.07972°N 10.10000°E﻿ / 47.07972; 10.10000﻿ (799. Östliche Eisentalerspitze (2753 m))
","Verwall
","II/A-15.VI-C
","Vorarlberg
","AT
","
"
275,"800
","Pic de Valsenestre
",2752.0,484.0,"44°53′12″N 06°04′03″E﻿ / ﻿44.88667°N 6.06750°E﻿ / 44.88667; 6.06750﻿ (800. Pic de Valsenestre (2752 m))
","Massif des Écrins
","I/A-05.III-E
","Isère
","FR
","
"
276,"801
","Cima di Quaira / Karspitze [it]
",2752.0,303.0,"46°18′31″N 10°36′51″E﻿ / ﻿46.30861°N 10.61417°E﻿ / 46.30861; 10.61417﻿ (801. Cima di Quaira / Karspitze (2752 m))
","Ortler Alps
","II/C-28.I-A
","S-Tyrol/Trentino
","IT
","
"
277,"802
","Pointe Percée
",2750.0,1643.0,"45°57′20″N 06°33′22″E﻿ / ﻿45.95556°N 6.55611°E﻿ / 45.95556; 6.55611﻿ (802. Pte Percée (2750 m))
","Aravis Range
","I/B-08.IV-A
","Haute-Savoie
","FR
","1865
"
278,"803
","Birkkarspitze
",2749.0,1564.0,"47°24′40″N 11°26′16″E﻿ / ﻿47.41111°N 11.43778°E﻿ / 47.41111; 11.43778﻿ (803. Birkkarspitze (2749 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
","1870
"
279,"804
","Alplerspitz / Mardatsch
",2748.0,321.0,"46°45′42″N 11°18′04″E﻿ / ﻿46.76167°N 11.30111°E﻿ / 46.76167; 11.30111﻿ (804. Alplerspitz / Mardatsch (2748 m))
","Sarntal Alps
","II/A-16.III-A
","South Tyrol
","IT
","
"
280,"805
","Sommet de La Frema
",2747.0,702.0,"44°09′07″N 06°41′55″E﻿ / ﻿44.15194°N 6.69861°E﻿ / 44.15194; 6.69861﻿ (805. Sommet de La Frema (2747 m))
","Maritime Alps
","I/A-02.I-E
","A-d-H-Provence
","FR
","
"
281,"806
","Hochwildstelle
",2747.0,480.0,"47°20′06″N 13°49′51″E﻿ / ﻿47.33500°N 13.83083°E﻿ / 47.33500; 13.83083﻿ (806. Hochwildstelle (2747 m))
","Niedere Tauern
","II/A-18.II-A
","Styria
","AT
","1801
"
282,"807
","Siahuare / Corno del Lago
",2747.0,405.0,"45°40′15″N 07°46′59″E﻿ / ﻿45.67083°N 7.78306°E﻿ / 45.67083; 7.78306﻿ (807. Corno del Lago (2747 m))
","Monte Rosa Alps
","I/B-09.III-B
","Aosta Valley
","IT
","
"
283,"808
","Hochwart
",2746.0,308.0,"46°47′27″N 11°19′08″E﻿ / ﻿46.79083°N 11.31889°E﻿ / 46.79083; 11.31889﻿ (808. Hochwart (2746 m))
","Sarntal Alps
","II/A-16.III-A
","South Tyrol
","IT
","
"
284,"809
","Cima Bocche
",2745.0,714.0,"46°21′15″N 11°45′08″E﻿ / ﻿46.35417°N 11.75222°E﻿ / 46.35417; 11.75222﻿ (809. Cima Bocche (2745 m))
","Dolomites - NW
","II/C-31.III-B
","Trentino
","IT
","
"
285,"810
","Jakobsspitze
",2745.0,531.0,"46°45′47″N 11°29′30″E﻿ / ﻿46.76306°N 11.49167°E﻿ / 46.76306; 11.49167﻿ (810. Jakobsspitze (2745 m))
","Sarntal Alps
","II/A-16.III-A
","South Tyrol
","IT
","
"
286,"811
","Sadnig
",2745.0,385.0,"46°56′28″N 12°59′21″E﻿ / ﻿46.94111°N 12.98917°E﻿ / 46.94111; 12.98917﻿ (811. Sadnig (2745 m))
","Goldberg Group
","II/A-17.II-E
","Carinthia
","AT
","
"
287,"812
","Hochwanner
",2744.0,699.0,"47°23′46″N 11°03′21″E﻿ / ﻿47.39611°N 11.05583°E﻿ / 47.39611; 11.05583﻿ (812. Hochwanner (2744 m))
","Wetterstein
","II/B-21.III-B
","N-Tyrol/Bavaria
","AT/DE
","1870
"
288,"813
","Roteck
",2742.0,444.0,"47°13′48″N 13°51′02″E﻿ / ﻿47.23000°N 13.85056°E﻿ / 47.23000; 13.85056﻿ (813. Roteck (2742 m))
","Niedere Tauern
","II/A-18.II-A
","Salzburg/Styria
","AT
","
"
289,"814
","Ärmighore
",2742.0,332.0,"46°32′30″N 07°42′49″E﻿ / ﻿46.54167°N 7.71361°E﻿ / 46.54167; 7.71361﻿ (814. Ärmighore (2742 m))
","Bernese Prealps
","I/B-14.II-B
","Bern
","CH
","
"
290,"815
","Madom Gröss
",2741.0,630.0,"46°22′00″N 08°49′52″E﻿ / ﻿46.36667°N 8.83111°E﻿ / 46.36667; 8.83111﻿ (815. Madom Gröss (2741 m))
","Ticino Alps
","I/B-10.II-D
","Ticino
","CH
","
"
291,"816
","Cima Carnera [it]
",2741.0,319.0,"45°51′18″N 07°58′13″E﻿ / ﻿45.85500°N 7.97028°E﻿ / 45.85500; 7.97028﻿ (816. Cima Carnera (2741 m))
","Monte Rosa Alps
","I/B-09.III-C
","Vercelli
","IT
","
"
292,"817
","Škrlatica
",2740.0,972.0,"46°25′58″N 13°49′16″E﻿ / ﻿46.43278°N 13.82111°E﻿ / 46.43278; 13.82111﻿ (817. Škrlatica (2740 m))
","Julian Alps
","II/C-34.I-E
","West Slovenia
","SI
","1880
"
